id,marca,nome,linha,versao,concentracao,volume_ml,genero,tipo_produto,titulo_site,sku,ean,imagens,confianca_identificacao,fonte_validacao,duplicata_de,observacoes
grandeur-rose-explosion-edp-100ml,Grandeur,Rose Explosion,,,Eau de Parfum,100,Feminino,Perfume,Grandeur Rose Explosion Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.48.jpeg,alta,https://lookalyfe.com/products/grandeur-rose-explosion-eau-de-parfum-100ml; https://www.fragrancecastle.com/products/grandeur-rose-explosion-edp-100ml-for-women; https://www.fragrancesquare.co.uk/products/rose-explosion-eau-de-parfum-100ml-by-grandeur-al-wataniah-inspired-by-bombshell,,
maison-alhambra-delilah-blanc-edp-100ml,Maison Alhambra,Delilah,,Blanc,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra Delilah Blanc Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.49 (1).jpeg,alta,https://www.amazon.com/Maison-Alhambra-Delilah-Blanc-Women/dp/B0DQ8VSNL7; https://www.fragrantica.com/perfume/Maison-Alhambra/Delilah-Blanc-109599.html; https://www.parfumo.com/Perfumes/maison-alhambra/delilah-blanc,,
maison-alhambra-la-rouge-baroque-edp-100ml,Maison Alhambra,La Rouge Baroque,,,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra La Rouge Baroque Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.49.jpeg,alta,https://www.amazon.com/Baroque-Extrait-Perfume-Maison-Alhambra/dp/B0BKTDG55D; https://www.fragrantica.com/perfume/Maison-Alhambra/Baroque-Rouge-Extrait-94073.html; https://www.parfumo.com/Perfumes/maison-alhambra/la-rouge-baroque-baroque-rouge-540,,
maison-alhambra-the-white-cloud-edp-100ml,Maison Alhambra,The White Cloud,,,Eau de Parfum,100,,Perfume,Maison Alhambra The White Cloud Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.50 (1).jpeg,alta,https://www.amazon.com/Maison-Alhambra-White-Cloud-Long-Lasting/dp/B0G35WQHYM; https://www.fragrantica.com/perfume/Maison-Alhambra/The-White-Cloud-119815.html; https://www.parfumo.com/Perfumes/maison-alhambra/the-white-cloud,,
amaran-uqab-rihla-edp,Amaran,Uqab Rihla,,,Eau de Parfum,100,,Perfume,Amaran Uqab Rihla Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.50.jpeg,alta,Fragrantica; https://www.fragrantica.com/perfume/Amaran/Uqab-Rihla-108260.html,,AMARAN EXCLUSIVE; nome em fonte pequena UQAB / RIHLA | linha Amaran Exclusive; Fragrantica lista Uqab e Uqab Rihla como produtos distintos - texto da caixa mostrava ambas palavras juntas
maison-alhambra-la-vivacite-edp-100ml,Maison Alhambra,La Vivacite,,,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra La Vivacite Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.52.jpeg,alta,https://www.fragrancenet.com/perfume/maison-alhambra/maison-alhambra-la-vivacite/eau-de-parfum; https://www.fragrantica.com/perfume/Maison-Alhambra/La-Vivacite-100488.html; https://www.intenseoud.com/products/la-vivacite-eau-de-parfum-spray-100ml-3-4-oz-by-maison-alhambra-a-blend-of-juicy-fruits-elegant-florals-and-warm-vanilla,,
ard-al-zaafaran-manaal,Ard Al Zaafaran,Manaal,,,Eau de Parfum,100,,Perfume,Ard Al Zaafaran Manaal Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.53 (1).jpeg,alta,Amazon; ardalzaafaranshop.com; eBay; https://www.fragrantica.com/perfume/Ard-Al-Zaafaran/Manaal-110634.html; https://www.parfumo.com/Perfumes/Ard_Al_Zaafaran/manaal,,"estojo cilindrico verde couro, arabe منال, marca nao visivel"
lattafa-fakhar-black,Lattafa,Fakhar,,Black,Eau de Parfum,100,,Perfume,Lattafa Fakhar Black Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.53 (2).jpeg,alta,Fragrantica; Lattafa-USA; https://www.fragrantica.com/perfume/Lattafa-Perfumes/Fakhar-Black-70465.html; https://www.lattafa-usa.com/products/fakhar-men,,caixa preta placa prata - confirmar se Black/Silver
milestone-perfumes-she-fashion-edp-100ml,Milestone Perfumes,She Fashion,,,Eau de Parfum,100,Feminino,Perfume,Milestone Perfumes She Fashion Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.53.jpeg,alta,https://arabicperfumeshop.ie/product/milestone-perfumes-she-fashion/; https://kenzz.com/en/product/WPWRNBXGLR3X/MILESTONE-SHE-FASHION-FOR-WOMAN-100-ML-Eau-de-Parfum-Spray-100-ml; https://www.nemeshoperfumes.com/products/she-fashion-by-milestone-eau-de-parfum-3-4-oz-for-women,,
lattafa-fakhar-gold,Lattafa,Fakhar,,Gold,Eau de Parfum,100,,Perfume,Lattafa Fakhar Gold Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.55 (1).jpeg,alta,Amazon; Fragrantica; Walmart; https://www.fragrantica.com/perfume/Lattafa-Perfumes/Tharwah-Gold-82004.html; https://www.lattafa-usa.com/products/tharwah-gold,,caixa dourada - confirmar Gold
french-avenue-liquid-brun,French Avenue,Liquid Brun,,,Eau de Parfum,100,,Perfume,French Avenue Liquid Brun Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.55 (2).jpeg,alta,Fragrantica; Jomashop; french-avenue-parfum.com; https://www.fragrantica.com/perfume/French-Avenue/Liquid-Brun-94713.html; https://www.french-avenue-parfum.com/en/product-2/eau-de-parfum-liquid-brun/,,linha da Fragrance World
lattafa-fakhar-rose,Lattafa,Fakhar,,Rose,Eau de Parfum,100,,Perfume,Lattafa Fakhar Rose Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.46.55.jpeg,media,Fragrantica; Walmart; https://www.fragrantica.com/perfume/Lattafa-Perfumes/Fakhar-Rose-70466.html,,caixa branca placa rose gold - confirmar Rose/Women | pode ser 'Fakhar' base feminino ou 'Fakhar Rose' - nome mais provavel dado placa rose gold
maison-alhambra-athena-edp,Maison Alhambra,Athena,,,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra Athena Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.46.58.jpeg,alta,https://filledwithbarakah.com/products/athena-eau-de-parfum-100ml-by-maison-alhambra; https://frencharabianperfume.com/shop/fragrance/for-her/athena-perfume-100ml-edp-maison-alhambra/; https://www.fragrantica.com/perfume/Maison-Alhambra/Athena-103018.html; https://zaoud.it/products/maison-alhambra-athena,,
armaf-club-de-nuit-oud-parfum,Armaf,Club de Nuit,,Oud,Parfum,105,,Perfume,Armaf Club de Nuit Oud Parfum - Perfume 105ml,,,WhatsApp Image 2026-06-16 at 13.48.28.jpeg,alta,https://armaf.com/products/club-de-nuit-oud; https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Oud-88825.html; https://www.walmart.com/ip/Armaf-Club-de-Nuit-Oud-Parfum-3-6-fl-oz-105-mL/6092805294,,
amaran-fanoos-siraj-edp,Amaran,Fanoos Siraj,,,Eau de Parfum,100,,Perfume,Amaran Fanoos Siraj Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.33.jpeg,alta,https://www.fragrantica.com/perfume/Amaran/Fanoos-Siraj-108246.html; https://www.jomashop.com/fanoos-siraj-unisex-edp-100-ml-3-4oz-by-amaran-exclusive-6294019030569.html; https://www.parfumo.com/Perfumes/amaran/fanoos-siraj,,
lattafa-dalal-100ml,Lattafa,Dalal,,,Eau de Parfum,100,Feminino,Perfume,Lattafa Dalal Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.34 (1).jpeg,alta,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Dalal-119588.html; https://www.lattafa-usa.com/products/dalal,,
asdaaf-ameerat-al-arab-edp-100ml,Asdaaf,Ameerat Al Arab,,,Eau de Parfum,100,Feminino,Perfume,Asdaaf Ameerat Al Arab Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.34.jpeg,alta,https://lattafa.com/product/ameerat-al-arab/; https://www.fragrantica.com/perfume/Asdaaf/Ameerat-Al-Arab-81376.html; https://www.walmart.com/ip/Asdaaf-Ameerat-Al-Arab-Eau-De-Parfum-Unisex-Fragrance-3-4-Oz-Lattafa/5586802426,,
emper-ryan-turquoise-crescent-pour-femme-80ml,Emper,Ryan Turquoise,,Crescent Pour Femme,Eau de Parfum,80,Feminino,Perfume,Emper Ryan Turquoise Crescent Pour Femme Eau de Parfum - Perfume Feminino 80ml,,,WhatsApp Image 2026-06-16 at 13.52.35 (1).jpeg,alta,Parfumo; https://labelleperfumes.com/products/new-crescent-ryan-turquoise-2-7-oz-edp-for-women; https://www.amazon.com/Emper-Crescent-Ryan-Turquoise-women/dp/B0CFNV45X6; https://www.perfumesbyjs.com/products/emper-crescent-ryan-turquoise-pour-femme-eau-de-parfum-for-women-80-ml; perfumesbyjs.com,,linha CRESCENT no topo; 2.7 fl.oz = 80ml
maison-alhambra-intrude-edp-100ml,Maison Alhambra,Intrude,,,Eau de Parfum,100,,Perfume,Maison Alhambra Intrude Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.35 (2).jpeg,alta,https://www.fragrancenet.com/perfume/maison-alhambra/maison-alhambra-lintrude/eau-de-parfum; https://www.fragrantica.com/perfume/Maison-Alhambra/L-Intrude-93651.html; https://www.perfume.com/maison-alhambra/maison-alhambra-intrude/women-perfume,,
maison-alhambra-delilah-pour-femme-edp-100ml,Maison Alhambra,Delilah,,Pour Femme,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra Delilah Pour Femme Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.36 (1).jpeg; WhatsApp Image 2026-06-16 at 13.53.00.jpeg,alta,Amazon; FragranceNet; Fragrantica; https://beautyhouse.com/products/maison-alhambra-so-candid-eau-de-parfum-for-women; https://www.fragrantica.com/perfume/Maison-Alhambra/So-Candid-94072.html; https://www.jomashop.com/maison-alhambra-ladies-so-candid-edp-spray-2-8-oz-fragrances-6291108735244.html,,"brasao com leao, marca nao escrita - NAO confundir com Maison Alhambra Delilah Blanc | duplicata de 13.52.36 (1)"
emper-genius-blush-edp-100ml,Emper,Genius Blush,,,Eau de Parfum,100,Feminino,Perfume,Emper Genius Blush Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.36.jpeg; WhatsApp Image 2026-06-16 at 13.52.57 (1).jpeg,alta,https://ibspot.com/us/products/emper-genius-blush-eau-de-parfum-for-women-3-4-fl-oz; https://www.etsy.com/listing/4494911950/genius-blush-by-emper-perfumes-100ml-eau; https://www.fragrantica.com/perfume/Emper/Genius-Blush-126403.html,,
amaran-kings-queens-ethos-edp-100ml,Amaran,Kings & Queens Ethos,,,Eau de Parfum,100,,Perfume,Amaran Kings & Queens Ethos Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.37 (1).jpeg,alta,https://saharaelixir.com/product/kings-queens-ethos-by-amaran-eau-de-parfum-men/; https://www.amazon.com/Queens-Parfum-Fragrance-Amaran-Luxury/dp/B0F8PFCRS4; https://www.fragrantica.com/perfume/Amaran/Kings-Queens-Ethos-108756.html,,
grandeur-icon-edp-100ml,Grandeur,Icon,,,Eau de Parfum,100,,Perfume,Grandeur Icon Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.37 (2).jpeg,alta,https://filledwithbarakah.com/products/icon-eau-de-parfum-100ml-by-grandeur,,
lattafa-eclaire-edp-100ml,Lattafa,Eclaire,,,Eau de Parfum,100,Feminino,Perfume,Lattafa Eclaire Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.38 (1).jpeg,alta,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Eclaire-93628.html; https://www.lattafa-usa.com/products/eclaire,,
lattafa-angham-edp-100ml,Lattafa,Angham,,,Eau de Parfum,100,,Perfume,Lattafa Angham Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.38.jpeg,alta,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Angham-96768.html; https://www.lattafa-usa.com/products/angham,,
emper-secrets-of-red-girl-edp-100ml,Emper,Secrets of Red Girl,,,Eau de Parfum,100,Feminino,Perfume,Emper Secrets of Red Girl Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.39.jpeg,alta,https://emperperfumes.com/product/secrets-of-red-girl/; https://www.fragrancenet.com/perfume/emper/emper-secrets-of-red-girl/eau-de-parfum; https://www.orientfragance.com/en/products/secrets-of-red-girl-100ml-eau-de-parfum-emper-perfumes,,linha SECRET
paris-corner-marshmallow-blush,Paris Corner,Marshmallow Blush,,,Eau de Parfum,100,Feminino,Perfume,Paris Corner Marshmallow Blush Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.40.jpeg,alta,https://www.amazon.com/Paris-Corner-Marshmallow-Strawberry-Long-Lasting/dp/B0DTJGVJ7W; https://www.fragrantica.com/perfume/PARIS-CORNER/Marshmallow-Blush-102791.html; https://www.pariscornerperfumes.com/products/marshmallow-blush,,
milestone-perfumes-her-bravery-elixir-edp-100ml,Milestone Perfumes,Her Bravery,,Elixir,Eau de Parfum,100,Feminino,Perfume,Milestone Perfumes Her Bravery Elixir Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.42.jpeg,alta,"Amazon; filledwithbarakah.com; https://arabicperfumeshop.ie/product/milestone-perfumes-bravery-her-elixir/; https://elghazawy.com/en/product/38074270281173/HER+BRAVERY+BY+EMPER+MILESTONE+FOR+WOMEN+EDP,+100ML; https://filledwithbarakah.com/collections/fragrances-for-her/products/her-bravery-eau-de-parfum-100ml-by-milestone-perfumes; iscent.my",,marca nao visivel na frente
amaran-kings-queens-pure-aruba-edp-100ml,Amaran,Kings & Queens Pure Aruba,,,Eau de Parfum,100,,Perfume,Amaran Kings & Queens Pure Aruba Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.43 (1).jpeg,alta,https://hayaatiparfums.com/products/pure-aruba-kings-queens-amaran-100ml; https://www.amazon.com/Queens-Parfum-Floral-amaran-Fragrance/dp/B0F8PG7SDN; https://www.fragrantica.com/perfume/Amaran/Kings-Queens-Pure-Aruba-108763.html,,
milestone-perfumes-her-bravery-edp-100ml,Milestone Perfumes,Her Bravery,,,Eau de Parfum,100,Feminino,Perfume,Milestone Perfumes Her Bravery Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.43.jpeg,alta,"https://arabicperfumeshop.ie/product/milestone-perfumes-bravery-her-elixir/; https://elghazawy.com/en/product/38074270281173/HER+BRAVERY+BY+EMPER+MILESTONE+FOR+WOMEN+EDP,+100ML; https://filledwithbarakah.com/collections/fragrances-for-her/products/her-bravery-eau-de-parfum-100ml-by-milestone-perfumes",,logo Milestone confirma marca do Her Bravery Elixir
lattafa-layaan,Lattafa,Layaan,,,Eau de Parfum,75,Feminino,Perfume,Lattafa Layaan Eau de Parfum - Perfume Feminino 75ml,,,WhatsApp Image 2026-06-16 at 13.52.45 (1).jpeg,alta,https://www.amazon.com/Lattafa-Layaan-Fruity-Long-Lasting-Fragrance/dp/B0FTQ23764; https://www.fragrantica.com/perfume/Lattafa-Perfumes/Layaan-117123.html; https://www.lattafa-usa.com/products/layaan,,
armaf-club-de-nuit-maleeka-edp-105ml,Armaf,Club de Nuit,,Maleeka,Eau de Parfum,105,Feminino,Perfume,Armaf Club de Nuit Maleeka Eau de Parfum - Perfume Feminino 105ml,,,WhatsApp Image 2026-06-16 at 13.52.45.jpeg,alta,https://armaf.com/products/club-de-nuit-maleka; https://theperfumespot.com/club-de-nuit-maleka-by-armaf-3-4-oz-edp-spray-for-women/; https://www.fragrantica.com/perfume/Armaf/Club-De-Nuit-Maleka-106168.html,,
maison-alhambra-divine-mystique-edp-100ml,Maison Alhambra,Divine Mystique,,,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra Divine Mystique Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.47 (1).jpeg,media,https://maisonalhambra-usa.com/; https://royalsperfume.com/collections/maison-alhambra-perfumes; https://www.fragrantica.com/designers/Maison-Alhambra.html; https://www.helenaswholesale.co.uk/products/le-chameau-divine-mystique-eau-de-parfum-100ml,,REVISAR: pesquisa nao confirmou 'Divine Mystique' sob a marca Maison Alhambra; existe produto de mesmo nome sob a marca Le Chameau (Emper). Conferir embalagem fisica antes de publicar.
maison-alhambra-chants-tenderina-edp-100ml,Maison Alhambra,Chants Tenderina,,,Eau de Parfum,100,Feminino,Perfume,Maison Alhambra Chants Tenderina Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.47.jpeg,alta,https://valenciaperfumes.com/products/chants-tenderina-by-maison-alhambra; https://www.fragrancenet.com/fragrances/maison-alhambra/maison-alhambra-chants-tenderina/eau-de-parfum; https://www.fragrantica.com/perfume/Maison-Alhambra/Chants-Tenderina-89034.html,,
orientica-royal-amber-edp,Orientica,Royal Amber,,,Eau de Parfum,80,,Perfume,Orientica Royal Amber Eau de Parfum - Perfume 80ml,,,WhatsApp Image 2026-06-16 at 13.52.49 (1).jpeg,alta,https://www.amazon.com/Orientica-Luxury-Collection-Royal-Parfum/dp/B08NG6T4C6; https://www.fragrantica.com/perfume/Orientica-Premium/Royal-Amber-69362.html; https://www.orienticaperfumes.com/en-us/products/royal-amber,,linha Luxury Collection
orientica-rose-eclat-edp,Orientica,Rose Eclat,,,Eau de Parfum,80,Feminino,Perfume,Orientica Rose Eclat Eau de Parfum - Perfume Feminino 80ml,,,WhatsApp Image 2026-06-16 at 13.52.49.jpeg,alta,https://www.amazon.com/Orientica-Luxury-Collection-Eclat-Parfum/dp/B0FV8WVJ92; https://www.fragrantica.com/perfume/Orientica-Premium/Rose-Eclat-117922.html; https://www.orienticaperfumes.com/en-us/products/luxury-collection-rose-eclat,,linha Luxury Collection
emper-floretta-violeta-edp-100ml,Emper,Floretta Violeta,,,Eau de Parfum,100,Feminino,Perfume,Emper Floretta Violeta Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.50.jpeg,alta,Wyxloop; emperperfumes.com; https://emperperfume.ae/products/floretta-violeta; https://perfumehut.com.pk/product/emper-floretta-violeta-perfume-100ml/; https://www.amazon.com/Emper-Floretta-Violeta-women-100ML/dp/B0DQ2M543F,,"Floretta pode ser linha e nao marca - validar | Floretta e linha da Emper, nao marca independente"
maison-alhambra-so-candid-rouge-edp-85ml,Maison Alhambra,So Candid,,Rouge,Eau de Parfum,85,Feminino,Perfume,Maison Alhambra So Candid Rouge Eau de Parfum - Perfume Feminino 85ml,,,WhatsApp Image 2026-06-16 at 13.52.52 (1).jpeg,alta,crysperfumaria.com.br; https://www.anabis.com/us/Alhambra-So-Candid-EdP-85ml.html; https://www.fragrantica.com/perfume/Maison-Alhambra/So-Candid-94072.html; https://www.jomashop.com/maison-alhambra-ladies-so-candid-edp-spray-2-8-oz-fragrances-6291108735244.html; pequiperfumes.com.br; perfuboutique.com.ar,,"2.87 FL.OZ = 85ml, texto ml ilegivel"
emper-floretta-fulla-edp-100ml,Emper,Floretta Fulla,,,Eau de Parfum,100,Feminino,Perfume,Emper Floretta Fulla Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.52.jpeg,alta,Jomashop; emperperfumes.com; https://emperperfume.ae/products/floretta-fulla; https://whlsome.com/products/floretta-fulla-by-emper-eau-de-parfum-for-women-3-4-fl-oz-cherry-strawberry-pineapple-mandarin-orange-caramel-rose-jasmine-patchouli--amber-notes,,
al-wataniah-sabah-al-ward-sugar,Al Wataniah,Sabah Al Ward,,Sugar,Eau de Parfum,100,Feminino,Perfume,Al Wataniah Sabah Al Ward Sugar Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.53 (1).jpeg,alta,Fragrantica; https://www.fragrantica.com/perfume/Al-Wataniah/Sabah-Al-Ward-Sugar-114360.html; smellsplus.com,,"caixa rosa, palavra Sugar no topo, marca nao visivel"
maison-alhambra-so-candid-pour-femme-edp,Maison Alhambra,So Candid,,Pour Femme,Eau de Parfum,85,Feminino,Perfume,Maison Alhambra So Candid Pour Femme Eau de Parfum - Perfume Feminino 85ml,,,WhatsApp Image 2026-06-16 at 13.52.53.jpeg,alta,https://beautyhouse.com/products/maison-alhambra-so-candid-eau-de-parfum-for-women; https://www.fragrantica.com/perfume/Maison-Alhambra/So-Candid-94072.html; https://www.jomashop.com/maison-alhambra-ladies-so-candid-edp-spray-2-8-oz-fragrances-6291108735244.html,,
lattafa-musamam,Lattafa,Musamam,,,Eau de Parfum,100,,Perfume,Lattafa Musamam Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.55 (1).jpeg,alta,https://lattafa.com/product/musamam/; https://www.fragrantica.com/perfume/Lattafa-Perfumes/Musamam-84720.html,,estojo cilindrico textura python
al-wataniah-sabah-al-ward-delilah,Al Wataniah,Sabah Al Ward,,Delilah,Eau de Parfum,100,Feminino,Perfume,Al Wataniah Sabah Al Ward Delilah Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.52.55.jpeg,alta,Facebook; Instagram; TikTok - posts de revendedores confirmando nome+cor roxa; https://www.drogasil.com.br/al-wataniah-sabah-al-ward-delilah-eau-de-parfum-perfume-feminino-100ml-1477665.html; https://www.paguemenos.com.br/al-wataniah-sabah-al-ward-delilah-feminino-eau-de-parfum-1773855a54x346b9/p,,"caixa roxa, subtitulo Delilah; possivel mesma caixa de 13.52.54"
lattafa-atheeri,Lattafa,Atheeri,,,Eau de Parfum,100,,Perfume,Lattafa Atheeri Eau de Parfum - Perfume 100ml,,,WhatsApp Image 2026-06-16 at 13.52.57.jpeg,alta,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Atheeri-105152.html; https://www.lattafa-usa.com/products/atheeri,,
emper-genius-rose-edp-100ml,Emper,Genius Rose,,,Eau de Parfum,100,Feminino,Perfume,Emper Genius Rose Eau de Parfum - Perfume Feminino 100ml,,,WhatsApp Image 2026-06-16 at 13.53.11.jpeg,alta,https://emperperfumes.com/product/genius-rose/; https://www.amazon.com/Generic-Genius-Perfume-Femme-Emper/dp/B0DBNFG6V6; https://www.orientfragance.com/products/genius-rose-100ml-eau-de-parfum-emper-perfumes,,
